iter	Passed	Remaining
930	3270	242
931	3273	238
932	3276	235
933	3279	231
934	3283	228
935	3286	224
936	3289	221
937	3292	217
938	3295	214
939	3298	210
940	3301	206
941	3304	203
942	3307	199
943	3310	196
944	3313	192
945	3316	189
946	3319	185
947	3322	182
948	3325	178
949	3328	175
950	3331	171
951	3334	168
952	3337	164
953	3340	161
954	3343	157
955	3346	154
956	3349	150
957	3352	146
958	3355	143
959	3358	139
960	3361	136
961	3364	132
962	3368	129
963	3371	125
964	3374	122
965	3377	118
966	3380	115
967	3383	111
968	3387	108
969	3390	104
970	3393	101
971	3396	97
972	3399	94
973	3402	90
974	3405	87
975	3408	83
976	3411	80
977	3414	76
978	3417	73
979	3420	69
980	3424	66
981	3427	62
982	3430	59
983	3434	55
984	3437	52
985	3440	48
986	3444	45
987	3447	41
988	3450	38
989	3453	34
990	3456	31
991	3459	27
992	3462	24
993	3465	20
994	3469	17
995	3472	13
996	3475	10
997	3478	6
998	3481	3
999	3484	0
